instruction,response
Show me clients who have browsed availability,"[[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""browsed_availability"",""marketing_source"":true,""occurred_within_minutes_ago"":20160}],[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""called_business"",""marketing_source"":true,""occurred_within_minutes_ago"":20160}],[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""claimed_referral_offer"",""marketing_source"":true,""occurred_within_minutes_ago"":20160}],[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""clicked_link"",""marketing_source"":true,""occurred_within_minutes_ago"":20160}],[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""expressed_future_interest"",""marketing_source"":true,""occurred_within_minutes_ago"":20160}],[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""opened_email"",""marketing_source"":true,""occurred_within_minutes_ago"":20160}],[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""scheduled_future_reminder"",""marketing_source"":true,""occurred_within_minutes_ago"":20160}],[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""requested_appointment"",""marketing_source"":true,""occurred_within_minutes_ago"":20160}],[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""viewed_map"",""marketing_source"":true,""occurred_within_minutes_ago"":20160}],[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""viewed_my_appointments"",""marketing_source"":true,""occurred_within_minutes_ago"":20160}],[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""viewed_offer"",""marketing_source"":true,""occurred_within_minutes_ago"":20160}],[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""viewed_referral_claim_form"",""marketing_source"":true,""occurred_within_minutes_ago"":20160}],[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""visited_profile_link"",""marketing_source"":true,""occurred_within_minutes_ago"":20160}],[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""visited_website"",""marketing_source"":true,""occurred_within_minutes_ago"":20160}],[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""viewed_package_or_membership"",""marketing_source"":true,""occurred_within_minutes_ago"":20160}]]"
Show me all contacts with email = postaug51@test.com,"[[{""value"":""postaug51@test.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}]]"
Get customers whose email equals gouravjawale100+3342@gmail.com,"[[{""value"":""gouravjawale100+3342@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}],[{""value"":""sandeeptiwari+223@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}]]"
Show contacts with email as gouravjawale100+3342@gmail.com,"[[{""value"":""gouravjawale100+3342@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}],[{""value"":""sandeeptiwari@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}]]"
Get customers whose email equals gouravjawale100+23424234@gmail.com,"[[{""value"":""gouravjawale100+23424234@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}],[{""value"":""wilkin.automation+1121@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}]]"
Find customers based on birth date,"[[{""value"":0,""operator"":""anniversary_within_days"",""filter_type"":""contact_property"",""property_name"":""birth_date""}]]"
Find customers whose first name contains a,"[[{""value"":""a"",""operator"":""contains"",""filter_type"":""contact_property"",""property_name"":""first_name""}]]"
Get all contacts that opened email,"[[{""operator"":""has_interaction"",""source_id"":""87894477-de3d-4ed4-8038-4d023164db39"",""filter_type"":""interaction"",""interaction_type"":""opened_email""}]]"
Get customers whose last name equals automationpretest18july2,"[[{""value"":""automationpretest18july2"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers with mobile phone number filled in,"[[{""value"":null,""operator"":""is_not_blank"",""filter_type"":""contact_property"",""property_name"":""mobile_phone_number""}]]"
List customers with subscribed marketing emails,"[[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""subscribed_marketing_emails""}]]"
Find people who purchased,"[[{""operator"":""has_interaction"",""filter_type"":""interaction"",""interaction_type"":""purchased""}]]"
Find all clients where email is exactly gouravjawale100+3342@gmail.com,"[[{""value"":""gouravjawale100+3342@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}]]"
Find customers based on most recent feedback score,"[[{""value"":6,""operator"":""less_than_or_equal"",""filter_type"":""contact_property"",""property_name"":""most_recent_feedback_score""}]]"
Find customers based on most recent feedback score and Find customers based on most recent feedback score,"[[{""value"":7,""operator"":""greater_than_or_equal"",""filter_type"":""contact_property"",""property_name"":""most_recent_feedback_score""},{""value"":8,""operator"":""less_than_or_equal"",""filter_type"":""contact_property"",""property_name"":""most_recent_feedback_score""}]]"
Find customers based on most recent feedback score,"[[{""value"":9,""operator"":""greater_than_or_equal"",""filter_type"":""contact_property"",""property_name"":""most_recent_feedback_score""}]]"
Find all clients where mobile phone number is exactly +12256336966,"[[{""value"":""+12256336966"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""mobile_phone_number""}],[{""value"":""test1@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}],[{""value"":""thabbate@gmail.com"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""email""}]]"
Find customers where gender is Female,"[[{""value"":""Female"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""gender""}]]"
Find customers where gender is Male,"[[{""value"":""Male"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""gender""}]]"
List customers with +91 in mobile phone number,"[[{""value"":""+91"",""operator"":""contains"",""filter_type"":""contact_property"",""property_name"":""mobile_phone_number""}]]"
Find all clients where invalid email is exactly True,"[[{""value"":true,""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""invalid_email""}]]"
List customers with a in first name,"[[{""value"":""a"",""operator"":""contains"",""filter_type"":""contact_property"",""property_name"":""first_name""}]]"
Get all clients where last name has b,"[[{""value"":""b"",""operator"":""contains"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me contacts with frolodex16apr2ndattempt in their last name,"[[{""value"":""frolodex16apr2ndattempt"",""operator"":""contains"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers whose last name contains multisteptest,"[[{""value"":""multisteptest"",""operator"":""contains"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly 11SeptAutomation,"[[{""value"":""11SeptAutomation"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly Aug_10,"[[{""value"":""Aug_10"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is Aug_20,"[[{""value"":""Aug_20"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = Aug_30,"[[{""value"":""Aug_30"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is automation04May,"[[{""value"":""automation04May"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals automation23may4attempt,"[[{""value"":""automation23may4attempt"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals automation6marchattempthree,"[[{""value"":""automation6marchattempthree"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly automation6marchattempttwo,"[[{""value"":""automation6marchattempttwo"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is automationposttest1Aug,"[[{""value"":""automationposttest1Aug"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals automationposttest1Aug2,"[[{""value"":""automationposttest1Aug2"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is automationposttest1Aug3,"[[{""value"":""automationposttest1Aug3"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals automationposttest28july,"[[{""value"":""automationposttest28july"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = automationposttest28july,"[[{""value"":""automationposttest28july"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is automationpretest,"[[{""value"":""automationpretest"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is automationpretest18july3,"[[{""value"":""automationpretest18july3"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as automationpretest26july,"[[{""value"":""automationpretest26july"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly automationpretest26july2,"[[{""value"":""automationpretest26july2"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals automationpretest26july3,"[[{""value"":""automationpretest26july3"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = automationpretest26july4,"[[{""value"":""automationpretest26july4"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly automationpretest26july5,"[[{""value"":""automationpretest26july5"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as automationpretest27july,"[[{""value"":""automationpretest27july"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals automationpretest27july4,"[[{""value"":""automationpretest27july4"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is automationpretest27july5,"[[{""value"":""automationpretest27july5"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = automationpretest27july6,"[[{""value"":""automationpretest27july6"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = automationpretest31july,"[[{""value"":""automationpretest31july"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = automationpretest5oct,"[[{""value"":""automationpretest5oct"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as automationstep27may,"[[{""value"":""automationstep27may"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals automationtest26feb2ndattempt,"[[{""value"":""automationtest26feb2ndattempt"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly automationtest31aug,"[[{""value"":""automationtest31aug"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly automationtest4Sept,"[[{""value"":""automationtest4Sept"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly automationtest4Sept2,"[[{""value"":""automationtest4Sept2"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals automationtest8Aug,"[[{""value"":""automationtest8Aug"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly campagintest4dec,"[[{""value"":""campagintest4dec"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is CampaignAugTest,"[[{""value"":""CampaignAugTest"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is campaignone,"[[{""value"":""campaignone"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals dbmigwithphonetest2,"[[{""value"":""dbmigwithphonetest2"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly diffcontact,"[[{""value"":""diffcontact"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly duplicate13,"[[{""value"":""duplicate13"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly duplicate14,"[[{""value"":""duplicate14"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = duplicate15,"[[{""value"":""duplicate15"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly duplicate16,"[[{""value"":""duplicate16"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly duplicate17,"[[{""value"":""duplicate17"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly duplicatetweleve,"[[{""value"":""duplicatetweleve"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals email,"[[{""value"":""email"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = email1,"[[{""value"":""email1"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals emaillimittest,"[[{""value"":""emaillimittest"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = frolodex03may,"[[{""value"":""frolodex03may"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is frolodex10apr2ndattempt,"[[{""value"":""frolodex10apr2ndattempt"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals frolodex23MayAttempt7campaign,"[[{""value"":""frolodex23MayAttempt7campaign"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}],[{""value"":true,""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""invalid_email""}]]"
Show contacts with last name as frolodex5apr2ndattempt,"[[{""value"":""frolodex5apr2ndattempt"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as frolodextest20march,"[[{""value"":""frolodextest20march"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is frolodextest22May,"[[{""value"":""frolodextest22May"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals frolodextest22May2ndAttempt,"[[{""value"":""frolodextest22May2ndAttempt"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is frolodextest22May3rdAttempt,"[[{""value"":""frolodextest22May3rdAttempt"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as frolodextest22May4thAttempt,"[[{""value"":""frolodextest22May4thAttempt"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = frolodextest22May5thAttempt,"[[{""value"":""frolodextest22May5thAttempt"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals frolodextest22May6thAttempt,"[[{""value"":""frolodextest22May6thAttempt"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is frolodextest22May7thAttempt,"[[{""value"":""frolodextest22May7thAttempt"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is frolodextest26march,"[[{""value"":""frolodextest26march"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}],[{""value"":true,""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""invalid_email""}]]"
Get customers whose last name equals frolodextest26march2ndattempt,"[[{""value"":""frolodextest26march2ndattempt"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals frolodextest28march,"[[{""value"":""frolodextest28march"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = frolodextest2Aug,"[[{""value"":""frolodextest2Aug"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is frolodexTest6march,"[[{""value"":""frolodexTest6march"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = gupta1,"[[{""value"":""gupta1"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly gupta2,"[[{""value"":""gupta2"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as gupta3,"[[{""value"":""gupta3"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is gupta4,"[[{""value"":""gupta4"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals gupta5,"[[{""value"":""gupta5"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = gupta6,"[[{""value"":""gupta6"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as Last_05Sep,"[[{""value"":""Last_05Sep"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = Last_29Aug,"[[{""value"":""Last_29Aug"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly Last_30Aug,"[[{""value"":""Last_30Aug"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = Last_31Aug,"[[{""value"":""Last_31Aug"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals Loc_50,"[[{""value"":""Loc_50"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is Loc_Mar016_03,"[[{""value"":""Loc_Mar016_03"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is Loc_Mar016_04,"[[{""value"":""Loc_Mar016_04"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is Loc_Mar017_03,"[[{""value"":""Loc_Mar017_03"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is Loc_May14_01,"[[{""value"":""Loc_May14_01"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = LSep20,"[[{""value"":""LSep20"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals LSep25,"[[{""value"":""LSep25"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly Loc_Mar016_01,"[[{""value"":""Loc_Mar016_01"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as Multi,"[[{""value"":""Multi"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as Multi3,"[[{""value"":""Multi3"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly Multi4,"[[{""value"":""Multi4"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as Multi5,"[[{""value"":""Multi5"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly Multistep3Aug,"[[{""value"":""Multistep3Aug"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = Multistep3Aug2,"[[{""value"":""Multistep3Aug2"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name =  Multistep4Aug,"[[{""value"":"" Multistep4Aug"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is multistepattempt10june,"[[{""value"":""multistepattempt10june"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly multistepattempt10june2ndattempt,"[[{""value"":""multistepattempt10june2ndattempt"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals multistepauto10junenewcontact,"[[{""value"":""multistepauto10junenewcontact"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals multistepauto5jun,"[[{""value"":""multistepauto5jun"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as multistepauto6jun,"[[{""value"":""multistepauto6jun"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as multistepauto6june,"[[{""value"":""multistepauto6june"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals multistepauto7june,"[[{""value"":""multistepauto7june"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find all clients where last name is exactly multistepauto7junenewcontact,"[[{""value"":""multistepauto7junenewcontact"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = multistepautomation,"[[{""value"":""multistepautomation"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = multistepautomationshared,"[[{""value"":""multistepautomationshared"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as multistepautomationsharedlatest,"[[{""value"":""multistepautomationsharedlatest"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Get customers whose last name equals multistepautomationsharedlatestretest,"[[{""value"":""multistepautomationsharedlatestretest"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is Multitestaug23,"[[{""value"":""Multitestaug23"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = nonsharedcampaign,"[[{""value"":""nonsharedcampaign"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is nonsharedcampaign13marchMB,"[[{""value"":""nonsharedcampaign13marchMB"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show me all contacts with last name = OSA,"[[{""value"":""OSA"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as PostAug_50,"[[{""value"":""PostAug_50"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as readertest29Aug2,"[[{""value"":""readertest29Aug2"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is readertest29Aug3,"[[{""value"":""readertest29Aug3"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Show contacts with last name as readerwritertest,"[[{""value"":""readerwritertest"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
Find customers where last name is redisoffDBOFF31Marnonshared,"[[{""value"":""redisoffDBOFF31Marnonshared"",""operator"":""equals"",""filter_type"":""contact_property"",""property_name"":""last_name""}]]"
